product_name,5_stars,4_stars,3_stars,2_stars,1_stars,additional_information,url
"SlumberWorx TEWIN VINTAGE HOSPITAL STYLE BLACK METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 25cm Deep Pocket Spring Memory Foam Mattress, Small Double)",0%,0%,0%,0%,0%,Size Name: Small DoubleStyle Name: With 25cm Deep Pocket Spring Memory Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CCLKH8Y3
"SlumberWorx TEWIN VINTAGE HOSPITAL STYLE SINGLE METAL BED FRAME & GUEST TRUNDLE WITH COLOUR & MATTRESS OPTIONS (2 x 10cm Deep Comfort Foam Mattresses, Black)",100%,0%,0%,0%,0%,Colour Name: BlackMaterial Type: 2 x 10cm Deep Comfort Foam Mattresses,https://www.amazon.co.uk/product-reviews/B0CCP2JGJW
"SlumberWorx TEWIN VINTAGE HOSPITAL STYLE SINGLE METAL BED FRAME & GUEST TRUNDLE WITH COLOUR & MATTRESS OPTIONS (2 x 15cm Deep Comfort Foam Mattresses, Black)",100%,0%,0%,0%,0%,Colour Name: BlackMaterial Type: 2 x 15cm Deep Comfort Foam Mattresses,https://www.amazon.co.uk/product-reviews/B0CCP1RF1Y
"SlumberWorx TEWIN VINTAGE HOSPITAL STYLE SINGLE METAL BED FRAME & GUEST TRUNDLE WITH COLOUR & MATTRESS OPTIONS (2 x 20cm Deep Pocket Spring Comfort Foam Mattresses, Black)",100%,0%,0%,0%,0%,Colour Name: BlackMaterial Type: 2 x 20cm Deep Pocket Spring Comfort Foam Mattresses,https://www.amazon.co.uk/product-reviews/B0CCP47PVZ
"SlumberWorx TEWIN VINTAGE HOSPITAL STYLE SINGLE METAL BED FRAME & GUEST TRUNDLE WITH COLOUR & MATTRESS OPTIONS (2 x 25cm Deep Pocket Spring Memory Foam Mattresses, Black)",100%,0%,0%,0%,0%,Colour Name: BlackMaterial Type: 2 x 25cm Deep Pocket Spring Memory Foam Mattresses,https://www.amazon.co.uk/product-reviews/B0CCP22JLR
"SlumberWorx TEWIN VINTAGE HOSPITAL STYLE SINGLE METAL BED FRAME & GUEST TRUNDLE WITH COLOUR & MATTRESS OPTIONS (No Mattress, Black)",100%,0%,0%,0%,0%,Colour Name: BlackMaterial Type: No Mattress,https://www.amazon.co.uk/product-reviews/B0CCP352TC
"SlumberWorx TEWIN VINTAGE HOSPITAL STYLE WHITE METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 15cm Deep Comfort Foam Mattress, Double)",0%,0%,0%,0%,0%,Size Name: DoubleStyle Name: With 15cm Deep Comfort Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CCMB7PHJ
"SlumberWorx TEWIN VINTAGE HOSPITAL STYLE WHITE METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 15cm Deep Comfort Foam Mattress, King (U.K. Standard))",0%,0%,0%,0%,0%,Size Name: King (U.K. Standard)Style Name: With 15cm Deep Comfort Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CCMHQV8S
"SlumberWorx TEWIN VINTAGE HOSPITAL STYLE WHITE METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 15cm Deep Comfort Foam Mattress, Single)",0%,0%,0%,0%,0%,Size Name: SingleStyle Name: With 15cm Deep Comfort Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CCMCYL38
"SlumberWorx TEWIN VINTAGE HOSPITAL STYLE WHITE METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 20cm Deep Pocket Spring Comfort Foam Mattress, Double)",0%,0%,0%,0%,0%,Size Name: DoubleStyle Name: With 20cm Deep Pocket Spring Comfort Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CCMBRQVN
"SlumberWorx TEWIN VINTAGE HOSPITAL STYLE WHITE METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 20cm Deep Pocket Spring Comfort Foam Mattress, King (U.K. Standard))",0%,0%,0%,0%,0%,Size Name: King (U.K. Standard)Style Name: With 20cm Deep Pocket Spring Comfort Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CCMFZQ8N
